"id";"title";"user_id";"location";"date_posted";"description";"skills";"min_salary";"max_salary";"salary_negotiable";"payment_period";"payment_currency";"hiring_multiple_candidates";"created_at";"updated_at"
"1";"Senior Frontend Developer";"4";"Menlo Park, California";"2025-06-08";"<h2>About This Role</h2>
<p>We are looking for a Senior Frontend Developer to join our dynamic team. You will be responsible for building and maintaining user interfaces for our web applications.</p>

<h3>Key Responsibilities:</h3>
<ul>
  <li>Develop new user-facing features using React.js and modern frontend technologies</li>
  <li>Build reusable components and libraries for future use</li>
  <li>Translate designs and wireframes into high-quality code</li>
  <li>Optimize applications for maximum speed and scalability</li>
  <li>Collaborate with back-end developers and web designers</li>
</ul>

<h3>Requirements:</h3>
<ul>
  <li>5+ years of experience in frontend development</li>
  <li>Proficiency with JavaScript, HTML5, CSS3</li>
  <li>Experience with React.js or similar frontend frameworks</li>
  <li>Understanding of responsive design principles</li>
  <li>Knowledge of modern frontend build pipelines and tools</li>
</ul>";"[""React"",""JavaScript"",""HTML"",""CSS"",""Webpack""]";"80000";"120000";"0";"yearly";"USD";"0";"2025-07-03 20:58:18";"2025-07-03 20:58:18"
"2";"Junior React Developer";"4";"Menlo Park, California";"2025-06-10";"<h2>About This Role</h2>
<p>We are seeking a motivated Junior React Developer to join our growing team. This is an excellent opportunity for someone starting their career in frontend development.</p>

<h3>Key Responsibilities:</h3>
<ul>
  <li>Develop user interface components using React.js</li>
  <li>Implement responsive designs with modern CSS frameworks</li>
  <li>Participate in code reviews and follow best practices</li>
  <li>Collaborate with senior developers to learn and grow</li>
  <li>Write clean, maintainable code</li>
</ul>

<h3>Requirements:</h3>
<ul>
  <li>1-2 years of experience with React.js</li>
  <li>Basic knowledge of JavaScript, HTML5, CSS3</li>
  <li>Familiarity with Git version control</li>
  <li>Understanding of responsive web design</li>
  <li>Eagerness to learn and grow in a team environment</li>
</ul>";"[""React"",""JavaScript"",""HTML"",""CSS"",""Git""]";"45000";"65000";"0";"yearly";"USD";"0";"2025-07-03 20:58:18";"2025-07-03 20:58:18"
"3";"UI/UX Designer";"5";"San Francisco, California";"2025-07-01";"<h2>About This Role</h2>
<p>We are seeking a talented UI/UX Designer to create amazing user experiences. The ideal candidate should have an eye for clean and artful design, possess superior UI skills, and be able to translate high-level requirements into interaction flows and artifacts.</p>

<h3>Key Responsibilities:</h3>
<ul>
  <li>Create user-centered designs by understanding business requirements, user feedback, and user research insights</li>
  <li>Create wireframes, prototypes, and design mockups</li>
  <li>Find creative solutions to UX problems</li>
  <li>Collaborate with developers to implement design solutions</li>
  <li>Conduct usability testing and gather feedback</li>
</ul>

<h3>Requirements:</h3>
<ul>
  <li>3+ years of experience in UI/UX design</li>
  <li>Proficiency with design tools such as Figma, Adobe XD, or Sketch</li>
  <li>Strong portfolio demonstrating UI/UX capabilities</li>
  <li>Understanding of interaction design and information architecture</li>
  <li>Knowledge of user research and usability principles</li>
</ul>";"[""UI Design"",""UX Design"",""Figma"",""Adobe XD"",""Wireframing""]";"70000";"100000";"0";"yearly";"USD";"1";"2025-07-03 20:58:18";"2025-07-03 20:58:18"
"4";"Junior UX/UI Designer";"5";"San Francisco, California";"2025-06-09";"<h2>About This Role</h2>
<p>Join our design team as a Junior UX/UI Designer! This role is perfect for a creative individual looking to start their career in digital design and user experience.</p>

<h3>Key Responsibilities:</h3>
<ul>
  <li>Assist in creating wireframes and prototypes</li>
  <li>Support user research and usability testing</li>
  <li>Create visual designs under senior designer guidance</li>
  <li>Help maintain design systems and style guides</li>
  <li>Collaborate with development team on design implementation</li>
</ul>

<h3>Requirements:</h3>
<ul>
  <li>0-2 years of experience in UI/UX design</li>
  <li>Basic knowledge of Figma or Adobe XD</li>
  <li>Understanding of design principles and typography</li>
  <li>Portfolio showcasing design projects or personal work</li>
  <li>Strong communication and collaboration skills</li>
</ul>";"[""UI Design"",""UX Design"",""Figma"",""Prototyping"",""User Research""]";"40000";"60000";"1";"yearly";"USD";"0";"2025-07-03 20:58:18";"2025-07-03 20:58:18"
"5";"Senior Backend Engineer";"6";"San Bruno, California";"2025-06-11";"<h2>About This Role</h2>
<p>We're looking for a Senior Backend Engineer to design, develop, and maintain our server-side applications. You will be working on critical infrastructure that powers our products.</p>

<h3>Key Responsibilities:</h3>
<ul>
  <li>Design and implement robust, scalable backend services</li>
  <li>Write clean, maintainable, and efficient code</li>
  <li>Optimize application performance and responsiveness</li>
  <li>Implement security and data protection measures</li>
  <li>Collaborate with frontend developers and other team members</li>
</ul>

<h3>Requirements:</h3>
<ul>
  <li>5+ years of experience in backend development</li>
  <li>Proficiency with one or more backend languages (Node.js, Python, Java, etc.)</li>
  <li>Experience with database design and optimization</li>
  <li>Knowledge of cloud services (AWS, Azure, or GCP)</li>
  <li>Understanding of server-side templating languages</li>
</ul>";"[""Node.js"",""Python"",""AWS"",""MySQL"",""PostgreSQL""]";"90000";"140000";"0";"yearly";"USD";"1";"2025-07-03 20:58:18";"2025-07-03 20:58:18"
"6";"Junior PHP Developer";"6";"San Bruno, California";"2025-06-20";"<h2>About This Role</h2>
<p>We are looking for an enthusiastic Junior PHP Developer to join our backend team. This position offers great learning opportunities and growth potential.</p>

<h3>Key Responsibilities:</h3>
<ul>
  <li>Develop web applications using PHP and Laravel framework</li>
  <li>Write clean, well-documented code</li>
  <li>Participate in code reviews and testing</li>
  <li>Work with databases to store and retrieve data</li>
  <li>Debug and troubleshoot application issues</li>
</ul>

<h3>Requirements:</h3>
<ul>
  <li>1-2 years of experience with PHP</li>
  <li>Basic knowledge of Laravel framework</li>
  <li>Understanding of MySQL databases</li>
  <li>Familiarity with HTML, CSS, and JavaScript</li>
  <li>Strong problem-solving skills and attention to detail</li>
</ul>";"[""PHP"",""Laravel"",""MySQL"",""HTML"",""CSS""]";"42000";"62000";"0";"yearly";"USD";"0";"2025-07-03 20:58:18";"2025-07-03 20:58:18"
"7";"Database Administrator";"7";"Redmond, Washington";"2025-06-09";"<h2>About This Role</h2>
<p>We are seeking a skilled Database Administrator to maintain and secure our database systems. You will be responsible for the performance, integrity, and security of databases.</p>

<h3>Key Responsibilities:</h3>
<ul>
  <li>Install and maintain database servers and applications</li>
  <li>Design and implement database strategies, schemas, and models</li>
  <li>Monitor database performance and optimize database structures</li>
  <li>Implement and maintain database security measures</li>
  <li>Create disaster recovery plans to prevent data loss</li>
</ul>

<h3>Requirements:</h3>
<ul>
  <li>4+ years of experience as a Database Administrator</li>
  <li>Expertise in SQL and database management systems (MySQL, PostgreSQL, etc.)</li>
  <li>Experience with database design, documentation, and optimization</li>
  <li>Knowledge of data backup, recovery, and security processes</li>
  <li>Understanding of GDPR and data privacy practices</li>
</ul>";"[""SQL"",""MySQL"",""PostgreSQL"",""Database Design"",""Oracle""]";"85000";"130000";"0";"yearly";"USD";"1";"2025-07-03 20:58:18";"2025-07-03 20:58:18"
"8";"Junior Database Developer";"7";"Redmond, Washington";"2025-06-13";"<h2>About This Role</h2>
<p>Join our data team as a Junior Database Developer! This role offers hands-on experience with database design, development, and optimization.</p>

<h3>Key Responsibilities:</h3>
<ul>
  <li>Assist in database design and schema development</li>
  <li>Write and optimize SQL queries</li>
  <li>Support data migration and integration projects</li>
  <li>Help maintain database documentation</li>
  <li>Learn database performance tuning techniques</li>
</ul>

<h3>Requirements:</h3>
<ul>
  <li>1-2 years of experience with SQL</li>
  <li>Basic knowledge of MySQL or PostgreSQL</li>
  <li>Understanding of database normalization</li>
  <li>Familiarity with data modeling concepts</li>
  <li>Strong analytical and problem-solving skills</li>
</ul>";"[""SQL"",""MySQL"",""PostgreSQL"",""Database Design"",""Data Analysis""]";"48000";"68000";"1";"yearly";"USD";"1";"2025-07-03 20:58:18";"2025-07-03 20:58:18"
"9";"DevOps Engineer";"8";"Cupertino, California";"2025-06-05";"<h2>About This Role</h2>
<p>We are looking for a DevOps Engineer to help us build and maintain our infrastructure and deployment systems. You will work on automating processes and ensuring our systems are scalable and reliable.</p>

<h3>Key Responsibilities:</h3>
<ul>
  <li>Implement and automate CI/CD pipelines</li>
  <li>Manage cloud infrastructure and containerized environments</li>
  <li>Monitor system performance and troubleshoot issues</li>
  <li>Implement security best practices and ensure compliance</li>
  <li>Collaborate with development teams to improve deployment processes</li>
</ul>

<h3>Requirements:</h3>
<ul>
  <li>3+ years of experience in DevOps or Site Reliability Engineering</li>
  <li>Experience with infrastructure as code tools (Terraform, CloudFormation)</li>
  <li>Knowledge of containerization and orchestration (Docker, Kubernetes)</li>
  <li>Familiarity with cloud platforms (AWS, Azure, GCP)</li>
  <li>Understanding of networking and security principles</li>
</ul>";"[""Docker"",""Kubernetes"",""AWS"",""Terraform"",""GitHub Actions""]";"85000";"130000";"1";"yearly";"USD";"0";"2025-07-03 20:58:18";"2025-07-03 20:58:18"
"10";"Junior DevOps Engineer";"8";"Cupertino, California";"2025-06-15";"<h2>About This Role</h2>
<p>Start your DevOps career with us! This junior position offers excellent learning opportunities in cloud infrastructure, automation, and deployment processes.</p>

<h3>Key Responsibilities:</h3>
<ul>
  <li>Assist in maintaining CI/CD pipelines</li>
  <li>Help monitor system performance and logs</li>
  <li>Support cloud infrastructure management</li>
  <li>Learn automation tools and scripting</li>
  <li>Participate in incident response and troubleshooting</li>
</ul>

<h3>Requirements:</h3>
<ul>
  <li>0-2 years of experience in DevOps or IT operations</li>
  <li>Basic knowledge of Linux systems</li>
  <li>Familiarity with Docker and containerization</li>
  <li>Understanding of Git version control</li>
  <li>Eagerness to learn cloud platforms (AWS, Azure, or GCP)</li>
</ul>";"[""Docker"",""Git"",""AWS"",""Apache"",""Nginx""]";"50000";"70000";"0";"yearly";"USD";"1";"2025-07-03 20:58:18";"2025-07-03 20:58:18"
